Age_Bin,Sexual_Assault,Assault,Robbery,Drugs,Murder,Burglary,Alcohol_Incident,Evading_Arrest,Weapon_Related,Theft
<20,33,112,237,38,36,49,0,33,14,16
20-30,2485,4163,6637,3004,1917,1933,332,1071,732,302
31-40,4946,6221,5308,6475,4041,2157,1089,1560,1125,583
41-50,5712,4026,2789,4521,4588,1353,1256,949,639,606
51-60,5193,2362,1880,2324,2606,1178,1451,436,263,520
61-70,2753,831,690,716,1378,455,670,95,65,177
71-80,817,93,88,71,335,39,74,5,14,12
81-90,112,4,1,2,35,1,2,0,0,0
91-100,1,0,0,0,1,0,0,0,0,0
100+,0,0,0,0,0,0,0,0,0,0
